First Stock,Second Stock
A,INVH
A,ORCL
A,TGT
A,TT
ABBV,ABC
ABC,ADM
ABC,KR
ABT,AWK
ABT,CPRT
ABT,ICE
ABT,MA
ABT,NEE
ABT,NSC
ABT,ROP
ABT,STE
ABT,UNP
ABT,WMT
ABT,WTW
ABT,ZTS
ACN,DHR
ACN,HD
ACN,INVH
ACN,IQV
ACN,LOW
ACN,NDSN
ACN,PLD
ADBE,BBY
ADBE,CRM
ADI,AME
ADI,AWK
ADI,CDW
ADI,DHR
ADI,DOV
ADI,EXPD
ADI,FAST
ADI,HD
ADI,HOLX
ADI,INVH
ADI,IQV
ADI,J
ADI,LIN
ADI,LOW
ADI,MSFT
ADI,MTD
ADI,NEE
ADI,ORCL
ADI,PLD
ADI,POOL
ADI,SHW
ADI,STE
ADI,TECH
ADI,TGT
ADI,TMO
ADI,TT
ADI,TXN
ADI,UNP
ADP,ORLY
ADP,WM
ADSK,BBY
AEE,INVH
AEE,UNP
AEP,ETR
AEP,LHX
AEP,MRK
AIZ,DUK
AIZ,INVH
AIZ,LNT
AJG,JNJ
AKAM,ANSS
ALGN,APTV
ALK,PARA
ALL,AXP
ALL,CDW
ALL,COST
ALL,EXR
ALL,HLT
ALL,INVH
ALL,J
ALL,JNJ
ALL,LHX
ALL,MLM
ALL,PAYX
ALLE,COO
ALLE,GRMN
ALLE,MDT
ALLE,SBUX
AMAT,LEN
AMCR,CL
AMCR,DGX
AMCR,HOLX
AMCR,INVH
AMCR,JNJ
AMCR,UPS
AMD,NOW
AME,INVH
AME,J
AME,TGT
AME,TXN
AMGN,DG
AMGN,HRL
AMGN,HUM
AMGN,TMUS
AMT,MA
ANET,ON
ANET,RJF
AON,COST
AON,DUK
AON,EXR
AON,INVH
AON,LNT
AON,MCD
AON,MDLZ
AON,MMC
AON,MSI
AON,PAYX
AON,PEP
AON,RSG
AON,WM
AOS,EMN
APD,AWK
APD,MA
APD,VRSK
APD,WMT
APD,WTW
APH,DGX
APH,INVH
APH,LOW
APH,TSCO
ARE,EL
ARE,EW
ARE,ICE
ARE,INVH
ARE,MCO
ARE,POOL
ARE,SHW
ARE,SPGI
ARE,TGT
ARE,ZTS
ATO,BDX
ATVI,CAG
ATVI,EA
AVGO,KLAC
AVY,INVH
AVY,LH
AVY,ORCL
AVY,TECH
AVY,TXN
AVY,WAT
AWK,CPRT
AWK,EW
AWK,FAST
AWK,INVH
AWK,MA
AWK,MCO
AWK,ROP
AWK,SHW
AWK,STE
AWK,TDY
AWK,V
AWK,WMT
AWK,WTW
AWK,ZTS
AXP,BRK-B
AXP,CBRE
AXP,DTE
AXP,DUK
AXP,INVH
AXP,IQV
AXP,PEG
AXP,PFE
AXP,WAT
AXP,YUM
AZO,WRB
BAC,CBRE
BAC,INVH
BAX,VZ
BBY,CRM
BBY,MTCH
BBY,QRVO
BBY,TTWO
BDX,BF-B
BDX,BR
BDX,BRO
BDX,CCI
BDX,CINF
BDX,CME
BDX,CSCO
BDX,D
BDX,ES
BDX,ETR
BDX,EVRG
BDX,FE
BDX,FISV
BDX,FMC
BDX,HRL
BDX,ICE
BDX,JKHY
BDX,KDP
BDX,KO
BDX,LDOS
BDX,LHX
BDX,LIN
BDX,LNT
BDX,LW
BDX,MA
BDX,MCO
BDX,MDLZ
BDX,NEE
BDX,NSC
BDX,O
BDX,PAYX
BDX,PG
BDX,ROP
BDX,SBAC
BDX,SO
BDX,SPGI
BDX,STE
BDX,SYY
BDX,TDY
BDX,TJX
BDX,TXN
BDX,UNP
BDX,V
BDX,VRSK
BDX,VRSN
BDX,VZ
BDX,WEC
BDX,WM
BDX,WTW
BDX,XEL
BDX,YUM
BDX,ZTS
BIO,DLR
BIO,DPZ
BIO,NKE
BIO,TYL
BKNG,CFG
BKNG,CMA
BKNG,COF
BKNG,DVA
BKNG,EXPE
BKNG,F
BKNG,FBHS
BKNG,FDX
BKNG,FITB
BKNG,GM
BKNG,HPE
BKNG,IP
BKNG,KEY
BKNG,LYB
BKNG,SIVB
BKNG,STT
BKNG,SYF
BKNG,TFC
BKNG,TXT
BKNG,UHS
BKNG,WHR
BKNG,WY
BKNG,ZION
BLK,LH
BLK,ROK
BLK,TGT
BR,TJX
BRK-B,EXR
BRK-B,INVH
BRK-B,PSA
BRO,COST
BRO,FDS
BRO,INVH
BSX,O
BWA,IVZ
BWA,WRK
CB,IRM
CB,MET
CB,PSA
CBRE,INVH
CBRE,LH
CBRE,ORCL
CBRE,PNC
CCI,EW
CCI,INVH
CCI,MA
CCI,MCO
CCI,V
CDNS,SNPS
CDW,INVH
CDW,J
CF,HES
CHRW,GWW
CHTR,DLR
CINF,INVH
CL,CMI
CL,HOLX
CL,ITW
CL,MAS
CL,NLOK
CL,PCAR
CL,UPS
CL,WST
CME,PEG
CMG,RMD
CMI,MNST
CMS,HRL
CMS,MA
CMS,MRK
COO,GRMN
COO,NKE
COST,INVH
COST,PEP
COST,RSG
CPRT,INVH
CPRT,NEE
CPRT,SHW
CPRT,SYK
CPRT,ZTS
CPT,INVH
CRL,EPAM
CRL,GNRC
CRL,IDXX
CSX,INVH
CSX,IQV
CSX,J
CSX,LIN
CSX,LOW
CSX,MSFT
CSX,NSC
CSX,PEG
CSX,PKI
CSX,STE
CSX,TECH
CSX,TGT
CSX,UNP
CTAS,DG
CTAS,INVH
CTAS,LIN
CTAS,NEE
CTAS,TMO
CVS,IRM
CZR,ETSY
D,KMB
D,MDLZ
D,PG
DG,NEE
DG,PCAR
DGX,DHR
DGX,ETN
DGX,EXR
DGX,FAST
DGX,GOOG
DGX,GOOGL
DGX,INVH
DGX,JBHT
DGX,LOW
DGX,MLM
DGX,MS
DGX,MSFT
DGX,MTD
DGX,NDAQ
DGX,NDSN
DGX,ORCL
DGX,PH
DGX,PLD
DGX,POOL
DGX,TGT
DGX,TMO
DGX,TSCO
DGX,TXN
DGX,UPS
DGX,VMC
DGX,WST
DHI,EPAM
DHI,GNRC
DHI,LRCX
DHI,MCHP
DHI,RMD
DHI,TER
DHR,FAST
DHR,HD
DHR,INVH
DHR,LIN
DHR,LOW
DHR,NDSN
DIS,ZBH
DLR,NKE
DOV,EL
DOV,EXPD
DOV,GOOG
DOV,GOOGL
DOV,INVH
DOV,IQV
DOV,ORCL
DOV,PKI
DOV,POOL
DOV,SHW
DOV,TECH
DOV,TGT
DPZ,MCO
DPZ,SPGI
DPZ,TYL
DTE,DUK
DTE,INVH
DTE,KO
DTE,PAYX
DTE,WM
DUK,INVH
DUK,KO
DUK,PAYX
DUK,RSG
DUK,WM
DVA,SWKS
EFX,FRC
EFX,GOOG
EFX,GOOGL
EFX,INVH
EFX,LH
EFX,ORCL
EFX,TGT
EIX,PPL
EL,EXPD
EL,ICE
EL,INVH
EL,SHW
EL,SYK
EL,TGT
ELV,LLY
EMR,INVH
EMR,LH
EMR,TEL
EMR,UPS
EMR,WAT
EOG,FANG
EPAM,GNRC
EPAM,IDXX
ES,KMB
ES,LDOS
ES,MA
ES,V
ES,WTW
ETN,INVH
ETN,LOW
ETN,MTD
ETN,NDAQ
ETN,ORCL
ETR,MRK
EVRG,HSY
EVRG,INVH
EVRG,KO
EVRG,LHX
EVRG,MDLZ
EVRG,MRK
EVRG,MSI
EVRG,O
EVRG,RSG
EVRG,WM
EW,INVH
EW,SHW
EW,STE
EW,ZTS
EXC,PFE
EXPD,GOOG
EXPD,GOOGL
EXPD,INVH
EXPD,IQV
EXPD,LH
EXPD,ORCL
EXPD,PKI
EXPD,POOL
EXPD,TECH
EXPD,TGT
EXPD,TXN
EXR,INVH
EXR,MMC
F,FITB
F,KEY
FAST,HD
FAST,HOLX
FAST,INVH
FAST,LIN
FAST,LOW
FAST,MSFT
FAST,NDSN
FAST,NEE
FAST,STE
FAST,TMO
FBHS,SWKS
FDS,INVH
FLT,VZ
FMC,PCAR
FMC,WMT
FMC,XEL
FRC,GOOG
FRC,GOOGL
FRC,INVH
FRC,LH
FRC,TRMB
FRT,WFC
GE,NWL
GL,GPC
GL,GWW
GL,HSY
GL,MLM
GL,MSI
GL,ORLY
GL,PAYX
GL,PGR
GL,RE
GL,RSG
GL,SRE
GL,SYY
GL,TRV
GL,WM
GL,WRB
GM,SYF
GNRC,LEN
GNRC,LRCX
GNRC,MCHP
GNRC,TER
GOOG,INVH
GOOG,LH
GOOG,ORCL
GOOG,PKI
GOOG,TECH
GOOG,TGT
GOOGL,INVH
GOOGL,LH
GOOGL,ORCL
GOOGL,PKI
GOOGL,TECH
GOOGL,TGT
GPN,MKTX
GPN,TFX
GRMN,NKE
GWW,UNH
HAS,UHS
HAS,VTR
HAS,XRAY
HD,INVH
HD,LIN
HD,MSFT
HD,NDSN
HD,PKI
HD,PLD
HD,POOL
HD,TGT
HD,TMO
HD,TXN
HD,ZTS
HIG,RE
HLT,INVH
HLT,MSI
HLT,PAYX
HLT,PEG
HLT,WAT
HOLX,PCAR
HOLX,UPS
HON,INVH
HON,TECH
HON,TGT
HON,TT
HON,TXN
HPE,HST
HPE,MTB
HPE,ZION
HRL,MKC
HRL,WEC
HRL,XEL
HSIC,INVH
HSIC,IPG
HSIC,JNPR
HSIC,MAA
HSIC,PSA
HSIC,SEE
HST,MTB
HSY,WRB
HUM,ROL
IBM,INVH
IBM,IPG
IBM,IRM
IBM,JCI
IBM,JNPR
IBM,K
IBM,KMI
IBM,KR
IBM,LKQ
IBM,MAA
IBM,MCK
IBM,MET
IBM,MLM
IBM,MMC
IBM,MO
IBM,MS
IBM,NOC
IBM,ORLY
IBM,PAYX
IBM,PFG
IBM,PKG
IBM,PM
IBM,PSA
IBM,RE
IBM,RHI
IBM,RSG
IBM,SCHW
IBM,SEE
IBM,SJM
IBM,SNA
IBM,TEL
IBM,TRV
IBM,UNH
IBM,UPS
IBM,VMC
IBM,WAT
IBM,WMB
IBM,WRB
IBM,XOM
ICE,INVH
ICE,SHW
ICE,SYK
ICE,TGT
ICE,TYL
ICE,ZTS
IDXX,ZBRA
IEX,TXN
IFF,MMM
INVH,IPG
INVH,IQV
INVH,IRM
INVH,ITW
INVH,J
INVH,JBHT
INVH,JCI
INVH,JNJ
INVH,JNPR
INVH,JPM
INVH,K
INVH,KDP
INVH,KMI
INVH,KO
INVH,KR
INVH,LDOS
INVH,LH
INVH,LHX
INVH,LIN
INVH,LKQ
INVH,LNT
INVH,LOW
INVH,MA
INVH,MAA
INVH,MAS
INVH,MCD
INVH,MCO
INVH,MDLZ
INVH,MET
INVH,MLM
INVH,MMC
INVH,MNST
INVH,MS
INVH,MSFT
INVH,MSI
INVH,MTD
INVH,NDAQ
INVH,NDSN
INVH,NEE
INVH,NEM
INVH,NKE
INVH,NLOK
INVH,NSC
INVH,NTRS
INVH,NWS
INVH,NWSA
INVH,O
INVH,OMC
INVH,ORCL
INVH,ORLY
INVH,PAYX
INVH,PCAR
INVH,PEAK
INVH,PEG
INVH,PEP
INVH,PFE
INVH,PG
INVH,PGR
INVH,PH
INVH,PKG
INVH,PKI
INVH,PLD
INVH,PNC
INVH,PNR
INVH,POOL
INVH,PPG
INVH,PSA
INVH,RE
INVH,RHI
INVH,ROK
INVH,ROP
INVH,RSG
INVH,SBAC
INVH,SBUX
INVH,SCHW
INVH,SEE
INVH,SHW
INVH,SJM
INVH,SNA
INVH,SO
INVH,SPGI
INVH,SRE
INVH,STE
INVH,SYK
INVH,SYY
INVH,TDY
INVH,TECH
INVH,TEL
INVH,TGT
INVH,TJX
INVH,TMO
INVH,TMUS
INVH,TRMB
INVH,TROW
INVH,TRV
INVH,TSCO
INVH,TSN
INVH,TT
INVH,TXN
INVH,TYL
INVH,UDR
INVH,UNH
INVH,UNP
INVH,UPS
INVH,V
INVH,VMC
INVH,VRSK
INVH,WAT
INVH,WEC
INVH,WM
INVH,WMB
INVH,WMT
INVH,WST
INVH,WTW
INVH,XEL
INVH,XYL
INVH,YUM
INVH,ZTS
IQV,J
IQV,NSC
IQV,ORCL
IQV,TGT
IQV,TXN
IR,NVR
IRM,MET
ITW,MNST
ITW,TGT
J,LIN
J,TECH
J,TGT
J,TXN
JBHT,LH
JCI,VMC
JNJ,KR
JNJ,LIN
JNJ,TMUS
JNJ,TSCO
JNJ,UNH
JNPR,PSA
KDP,TJX
KMI,OMC
KMX,META
KO,LNT
KO,SO
KO,SRE
KR,UNH
LDOS,MA
LDOS,V
LDOS,WMT
LEN,LRCX
LEN,MCHP
LEN,NXPI
LEN,TER
LEN,URI
LH,MS
LH,ORCL
LH,TEL
LH,TGT
LH,UPS
LHX,MSI
LIN,MSFT
LIN,TMO
LIN,TSCO
LNT,MDLZ
LNT,PG
LNT,STE
LNT,TDY
LNT,WMT
LOW,MTD
LOW,NDSN
LRCX,MCHP
LRCX,NVR
LRCX,PHM
LUV,PARA
MA,MKC
MA,TDY
MA,V
MA,VRSK
MA,WMT
MA,WTW
MA,XEL
MAR,RF
MAS,NEM
MCD,MSI
MCD,ORLY
MCD,WM
MCHP,NVR
MCHP,NXPI
MCHP,QCOM
MCHP,TER
MCO,SHW
MCO,SPGI
MCO,TGT
MCO,ZTS
MDLZ,PG
MDLZ,WTW
MHK,WDC
MLM,ORCL
MLM,VMC
MMC,RSG
MNST,PCAR
MNST,TMUS
MNST,UPS
MPWR,ODFL
MPWR,SNPS
MRK,SRE
MSCI,RMD
MSFT,NDSN
MSFT,STE
MSI,WM
MTD,ORCL
MTD,POOL
MTD,TGT
MTD,TT
MTD,VMC
NDAQ,NDSN
NDSN,NEE
NDSN,TMO
NDSN,TSCO
NEE,PCAR
NEE,TMO
NEE,WMT
NSC,WTW
NTRS,NWS
NTRS,PNC
NTRS,RHI
NUE,ON
NUE,RJF
NVR,QCOM
NVR,TER
ODFL,SNPS
ON,PWR
ON,RJF
ORCL,VMC
ORCL,WAT
PARA,WBA
PAYX,RSG
PAYX,WM
PEG,SYY
PEG,UNP
PEG,YUM
PFE,PSA
PH,UPS
PHM,QCOM
PHM,RMD
PHM,TER
PHM,ZBRA
PKI,POOL
PKI,ROK
PKI,TGT
PLD,POOL
PLD,SHW
POOL,SHW
POOL,TECH
POOL,TGT
POOL,WST
RCL,VNO
RE,SJM
ROK,TGT
ROP,SYK
ROP,V
ROP,WMT
ROP,WTW
ROP,ZTS
SHW,SPGI
SHW,TECH
SHW,TGT
SHW,TXN
SHW,TYL
SHW,WST
SHW,ZTS
SPGI,ZTS
SRE,WRB
STE,UNP
SYK,WTW
TDY,V
TDY,WTW
TECH,TGT
TEL,UPS
TEL,VMC
TFX,VZ
TGT,TT
TGT,WST
V,VRSK
V,WMT
VRSK,WMT
WMT,WTW
WMT,XEL
WTW,ZTS
